first_name,genre,price_per_book,num_books_purchased
sue,sci-fi,3.3,2
sue,sci-fi,4.75,6
sue,biography,8.84,4
eli,fantasy,,1
bob,mystery,5.73,6
bob,mystery,6.24,6
bob,historical fiction,2.2,4
bob,thriller,11,3
bob,biography,5.9,5
theo,sci-fi,4.75,2
theo,fiction,6.24,2
theo,fiction,5,1
mary,historical fiction,3.35,3
mary,mystery,5.61,7
mary,dystopian,8.93,8
mary,romance,7.46,8
mary,satire,10.09,4
mary,sci-fi,3.45,9
mary,sci-fi,6.43,5
mary,memoir,11.1,4
mary,memoir,9.49,9
mary,memoir,,3
john,dystopian,3.93,8
john,thriller,2.2,12
john,true crime,6.47,3
jane,romance,8.21,10
jane,romance,5.23,10
jane,historical fiction,6.45,12
ally,biography,9.34,14
ally,memoir,4.59,9
alex,sci-fi,12,2
alex,sci-fi,4.32,2
alex,sci-fi,3.32,10
eve,fantasy,5.25,7
josh,satire,6.99,3
josh,thriller,8.21,8
martin,historical fiction,2.39,3
martin,historical fiction,,7
martin,sci-fi,6.43,3
martin,mystery,8.21,1
